id,name,gender,language,praise_text,meaning,category,keywords
33,Olubadan,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,oyo;lineage
34,Ooni,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
35,Lafogido,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
36,Obalufe,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
37,Omisakin,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
38,Owa Obokun,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
39,Fajemisin,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
40,Adedeji,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
41,Adeoti,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
42,Akinyemi,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
43,Awolowo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,osun;lineage
44,Adesida,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
45,Adegoroye,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
46,Ajapada,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
47,Lisa,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
48,Odopetu,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
49,Elemo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
50,Odundun,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
51,Adegbonmire,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
52,Deji,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
53,Asodeboyede,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ondo;lineage
54,Fayemi,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
55,Falayi,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
56,Akomolafe,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
57,Adebanjo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
58,Adebayo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
59,Elekole,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
60,Ogoga,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
61,Oore,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
62,Arinjale,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
63,Olowolafe,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,ekiti;lineage
64,Idejo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
65,Oniru,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
66,Elegushi,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
67,Osolo,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
68,Ojora,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
69,Aromire,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
70,Oloto,all,yoruba,"Ọmọ ọlọ́lá, Ọmọ tí ń jẹ́ kí orúkọ ìdílé rẹ̀ yọ. A kì í fi ọmọ rere wé ọmọ búburú. Ọmọ akíkanjú tí kò mọ̀ ẹ̀yìn. Ọlá àti ìyì ni ń tẹ̀lé wọn.","Representative praise highlighting honour, courage and noble ancestry. Authentic full oríkì differ by lineage and branch.",oriki_idile,lagos;lineage
